AD704 低偏置电流,低功耗,低失调电压,精密四运算放大器
MAX402 低电压,低功耗,高速运算放大器 TLE2021 单电源,低功耗,精密运算放大器 
MAX403 低电压,低功耗,高速运算放大器 TLE2022 单电源,低功耗,精密双运算放大器 
MAX406 CMOS单电源,低功耗运算放大器 TLE2024 单电源,低功耗,精密四运算放大器 
MAX407 CMOS单电源,低功耗双运算放大器 TLE2061 JFET输入,低功耗运算放大器 
MAX410 低电压,低噪音,低失调电压,精密运算放大器 TLE2062 JFET输入,低功耗双运算放大器 
MAX4100 低功耗,宽带,高速运算放大器 TLE2064 JFET输入,低功耗四运算放大器 
MAX4101 低功耗,宽带,高速运算放大器 TLE2141 高速,精密运算放大器 
MAX4102 低功耗,宽带,高速运算放大器 TLV2211 CMOS单电源,低电压,低功耗运算放大器 
MAX4103 低功耗,宽带,高速运算放大器 TLV2221 CMOS单电源,低电压,低功耗运算放大器 
MAX4112 电流反馈型,低功耗,宽带,高速运算放大器 TLV2231 CMOS单电源,低电压,低功耗运算放大器 
MAX412 低电压,低噪音,低失调电压,精密双运算放大器 TLV2252 CMOS单电源,低电压,低功耗双运算放大器 
MAX4122 单电源,低电压,低功耗,宽带,精密运算放大器 TLV2254 CMOS单电源,低电压,低功耗四运算放大器 
MAX4123 单电源,低电压,低功耗,宽带,精密运算放大器 TLV2262 CMOS单电源,低电压,低功耗双运算放大器 
MAX4126 单电源,低电压,低功耗,宽带,精密双运算放大器 TLV2264 CMOS单电源,低电压,低功耗四运算放大器 
MAX4128 单电源,低电压,低功耗,宽带,精密双运算放大器 TLV2322 CMOS单电源,低电压,低功耗双运算放大器 
MAX4129 单电源,低电压,低功耗,宽带,精密四运算放大器 TLV2324 CMOS单电源,低电压,低功耗四运算放大器 
MAX4130 单电源,低电压,低功耗,宽带,精密运算放大器 TLV2332 CMOS单电源,低电压,低功耗双运算放大器 
MAX4131 单电源,低电压,低功耗,宽带,精密运算放大器 TLV2334 CMOS单电源,低电压,低功耗四运算放大器 
MAX4132 单电源,低电压,低功耗,宽带,精密双运算放大器 TLV2341 CMOS单电源,低电压,低功耗运算放大器 
MAX4133 单电源,低电压,低功耗,宽带,精密双运算放大器 TLV2342 CMOS单电源,低电压,低功耗双运算放大器 
MAX4134 单电源,低电压,低功耗,宽带,精密四运算放大器 TLV2344 CMOS单电源,低电压,低功耗，高速四运算放大器 
MAX414 低电压,低噪音,低失调电压,精密四运算放大器 TLV2361 低电压,高速运算放大器 
MAX4162 单电源,低电压,低功耗运算放大器 TLV2362 低电压，低功耗,高速双运算放大器 
MAX4163 单电源,低电压,低功耗双运算放大器 TLV2422 CMOS单电源,低电压,低功耗双运算放大器 
MAX4164 单电源,低电压,低功耗四运算放大器 TLV2432 CMOS单电源,低电压,低功耗双运算放大器 
MAX4165 单电源,低电压,大电流,低功耗,精密运算放大器 TLV2442 CMOS单电源,低电压,低功耗双运算放大器 
MAX4167 单电源,低电压,大电流,低功耗,精密双运算放大器 TLV2711 CMOS单电源,低电压,低功耗运算放大器 
MAX4169 单电源,低电压,大电流,低功耗,精密四运算放大器 TLV2721 CMOS单电源,低电压,低功耗运算放大器 
MAX418 CMOS单电源,低功耗四运算放大器 TLV2731 CMOS单电源,低电压,低功耗运算放大器 
MAX4223 电流反馈型,宽带,高速运算放大器 TS912 CMOS单电源,低电压,低功耗双运算放大器 
MAX4225 电流反馈型,宽带,高速双运算放大器 TSH150 宽带,高速运算放大器 
MAX425 CMOS单电源运算放大器 TSH151 BIMOS,单电源,宽带,高速运算放大器 
MAX4250 单电源,低电压,低功耗,低噪音,精密运算放大器 UPC4557 通用双运算放大器 
MAX4252 单电源,低电压,低功耗,低噪音,精密双运算放大器 UPC4570 低噪音双运算放大器 
MAX4254 单电源,低电压,低功耗,低噪音,精密四运算放大器 UPC4572 单电源,低噪音双运算放大器 
MAX430 CMOS单电源运算放大器 UPC4574 低噪音四运算放大器 
MAX432 CMOS单电源运算放大器 UPC811 JFET输入,高速运算放大器 
MAX4330 单电源,低电压,低功耗运算放大器 UPC812 JFET输入,高速双运算放大器 
MAX4332 单电源,低电压,低功耗双运算放大器 UPC813 JFET输入,高速运算放大器 
MAX4334 单电源,低电压,低功耗四运算放大器 UPC814 JFET输入,高速双运算放大器 
MAX473 单电源,低电压,宽带,高速运算放大器 UPC815 低失调电压,精密运算放大器 
MAX474 单电源,低电压,宽带,高速双运算放大器 UPC816 高速,低失调电压,精密运算放大器 
MAX475 单电源,低电压,宽带,高速四运算放大器 UPC842 单电源,高速双运算放大器 
MAX477 宽带,高速运算放大器 UPC844 单电源,高速四运算放大器 
MAX478 单电源,低功耗,精密双运算放大器 XR094 JFET输入,四运算放大器 
MAX478A 单电源,低功耗,精密双运算放大器 XR095 JFET输入,四运算放大器 
MAX479 单电源,低功耗,精密四运算放大器 XR096 JFET输入,四运算放大器 
MAX479A 单电源,低功耗,精密四运算放大器 XR4202 低电压四运算放大器 

